clean_text,label
"Come on, jerks. Wear a mask in public. Keep your distance. Wash your hands. ",0
Wear a damn mask. ,0
Imagine if we stay wearing masks 😷 this might be how movies look 😲 ,2
"A record 160, million Americans voted. This is the mask I typically wear in public. Coincidence? ",2
Ok but you're doing exactly that when you're not calling out the Prez directly about no social distancing and no masks at all his events/rallies. 🤷🏽‍♂️ ,2
"It is so confusing to me that people argue with CDC guidelines for protecting other humans. Like, I must be wired wrong. I can’t fathom.  BARE MINIMUM- wear a mask, social distance, don’t have random stupid parties &amp; shit with like 10+ people. It’s really not that tough.",0
A perfectly healthy man died from COVID-19. Wear a fricking mask!!! #RIPNickCordero ,0
@SGHScaresThree reasons why I always wear a mask anywhere in public:(1) so I don't spread my germs to anyone else;(2) so they don't spread their germs to me; and(3) I want to live long enough to watch my grandnieces graduate from high school and college.#COVIDendswithme ,0
"@stephaniebice did not answer that #COVID19 question appropriately,..... She didn't even mention Wearing A Mask 😷 Simple Science 😷 A Mask",0
"Is there any data on what wearing a mask does to your oxygen intake, eg percent equivalent to a reduction in VO2 max? 🤔",2
"My cousin, I really do love her to death but man am I seriously questioning her intelligence because she’s going out to parties, baby showers, crowded beaches, restaurants and clubs as if nothing is happening. Worst of all without a mask. So yeah I’m really mad at her ",0
@MikeCrapo You support wearing a mask when the presidential candidate you support doesn’t believe in a mask mandate? Please explain how YOU can help Idaho? ,2
"@FOXBaltimore How many of them shopped at Walmart? You know, that place packed with people wh don’t wear masks and don’t practice social distancing?",0
"Wow no 😷Masks, is CA Gov. Newsom there! ",2
"@MrPeanut @FlaglerTavern I nominate them they decorated even during a difficult year. As the pandemic began, they sold TP, hand sanitizer &amp; other hard to find items. They wear masks, social distance, temp checks&amp; really make effort to keep staff &amp;locals safe.  #ANutAbove #contest ",
"Happy Covid-19 Opening Day of Baseball...Thursday!  ""It's Time for Dodger Baseball""!...GO BLUE! @dodgers @myglendale  #goblue #dodgers #wewillsurvive #doingmypart #wearamask😷 #coronavirüsü @ Verdugo Woodlands ",
I’m at the store and nobody else is wearing a mask I’m gonna riot people are so dumb #coronavirus,
"@hamsterkaren Change the words. not ""Please wear a mask"" say ""masks are required to be worn to remain in the store""",
"Don't be a #Covidiot, wear a mask!🐹😷 ",
The gentleman pulling cans out of the communal dumpster is wearing a mask. It warmed my heart. The pandemic really has made shit weird. #WearADamnMask,
I wear a mask because not only do I want to keep myself healthy but I also want to protect those around me! -Lauren Macpherson💙💛I wear my mask so that we are able to do what we love this winter. I wear my mask to be a catalyst in things going back to normal. -Jada Mazury ,
all the people who dont wear a mask in public look the same its terrible,
@BtSquared2 “I’m not going to wear a mask” as she’s wearing a mask INCORRECTLY,
"Morning friends, today more than ever protecting ourselves is paramount each of us must do our part to slow down this pandemic The only time l left this house was to have emergency surgery &amp; l wore a mask Please everyone do your part when outFollowing guidelines is all we have!",
"In the past 12 days, 5 friends lost loved ones to #COVID19 - I have fam working the front lines in California where ICU’s are at max capacity. For the love of your god - #WearADamnMask #SocialDistance limit your interactions and be safe. Hope is on the horizon. Don’t blow it up! ",
@kaliedra @DanielleMuscato @kroger Why is any customer arguing about wearing a mask?Only a dumb ass refuses to wear a mask.... especially when the business requires it.Grow UpMask Up,
"COVID-19. You never think it will happen to you, until it does. I hadn’t been sick before this in about 2 years. I always wore my masks when out or in groups, mostly stayed home &amp; made sure I was constantly staying safe. Pictures below are before getting sick but “recent”. ",
"Orrrrr , blame the people who still don’t take Covid seriously &amp; who still don’t wear a mask, still goes &amp; parties 🤦🏻‍♀️ ",
"I’ll never forget when COVID hit the US. My grandmother (an Air Force nurse vet and born in ‘21) told me this was the worse thing she’s seen. So yeah, I’m angry when I see dipshits wear masks wrong orvnot at all.",
@KamalaHarris We wear seatbeltsIt is a LAW that everyone must wear a seatbelt when in a moving car that is on any road. Why is it not a LAW that everyone wear a mask when in public?Wearing both saves lives.,
You don’t know me. I wear a mask everyday. Shame on your hate. ,
"Studies suggest that if 95% of Americans wear masks that could SAVE over 30,000 lives. Be a life saver! Masks are mandatory in Miami Dade County, Florida, Mr. @GregAbbott_TX, Mr. @Johnson4Dallas, &amp; Mr. @BruceArcher14 ! You can do the same!#WearAMaskSaveALife #WearAMask #MaskUp ",
Another COVID safe restaurant that is taking #maskupmt seriously. Thank you MacKenzie River Pizza. @MHA_Montana @Helena_Chamber @helenaironline ,
Make sure you #MaskUp😷 or #StayYourAssAtHome ❗❗❗❗❗❗❗❗ ,
@BSnapz2019 Oh No!You're wearing a mask.I Don't wear a mask bc I have a medical condition prevents me from safely doing so. Like I might for very short amounts of time.But it's not good for me to do it for extended amounts of time.,
"A heartfelt thank you to all our first responders, healthcare workers, essential workers and everyone working at COVID-19 testing sites. The situation in LA County is very serious, please take care of yourself and wear your masks at all times, including small children. 😷🙏🏼",
Not wearing a mask when half your team has Covid🤯😡😡#brownssuck,
"@PeteMoris @HokiesFB Love our Hokie Precious Players being smart &amp; wearing masks!!  Please do cause we here on NC had high, high Covid #’s this past week...wash those hands &amp; make smart, healthy choices especially while you are here in NC!!  Get back to Tech as soon as the game is over!😍",
"It’s really sad to see people who you know have gotten covid (for partying in a pandemic) still out in massive crowds, no social distancing, no masks, absolutely nothing- just to go to a raggedy rave party. Weirdo.",
And wear a damn mask. ,
"@T_Inglesby Stop wearing cheap masks, buy and wear masks fully rated to stop COVID-19 transmission. Stay home, don't go out unless an emergency. Do not send your kids to school either and stay clean social distancing even at home live in your own rooms, not in a group.",
Has anyone told the president?#WearADamnMask ,
"@Ingrahamangle you had 3 really good points of why President Trump is doing a better job on COVID-19, but missed the fourth. BIDEN HAS DONE NOTHING, not delivered a single mask, ventilator or piece of PPE, nor a Hospital Ship,Field Hospital , doctor or nurse! Biden's done nothing",
"#WorkoutWednesday -- As many of you know, 😷 masks are now mandatory inside of the gym.Group Fitness Director Kylee is here to share a few thoughts on getting used to and more comfortable with wearing a mask while #WorkingOut in the #gym.#Annapolis #Maryland #WearAMask ",
"On January 12, 2020, my cousin died in a car accident, not of Covid. Since then, 5 family members have joined her, because of Covid. My elderly Aunt and Uncle are in the hospital for Covid, doctors say that my uncle won’t make it 24 hours. Wear a fucking mask. #WearAMask",
WEAR A MASK #danapoint #OrangeCounty CA.,
"@KamalaHarris Ok, that’s one thing I can agree with you on now.  Mask 😷 have been critical in cutting down the spread of #COVID19",
Let this sink in... Trump’s no mask at rallies and events killed one of his top African American supporters... and Trump had no great public mourning! ,
"Wear a maskThey cute Yall ugly Thank you for coming to my Hope talk. @ New Orleans, Louisiana ",
"We’ve been in this pandemic for months now. Besides cost, there’s no reason you should still be wearing your neck gaiters, masks with exhaust values, or bandanas. They aren’t effective at keeping those around you safe.",
"Anyways.. can’t take too much twitter, u guys be safe out there in the virus world. Wear a mask.",
"Went for a walk with the family at Lake Seminole Park in @PinellasCoNews. Came upon 20+ people playing kickball. No masks, plenty of opportunities for #COVID19. It’s not illegal, but it should be. Welcome to Florida.",
Have a safe &amp; happy 4th of July. See you next week. Will be checking phone &amp; social messages until next tuesday. #enjoyyourholiday #besafe #keepsocialdistancing #maskupaz #washyourhands #handsanitizer #partysafe @… ,
"@hanchicago @jdwalter89 @MississippiRob4 @erosenthal1029 Wynn always feels safe. Though, I felt pretty safe at Paris. I tend to avoid random crowds. Ironically, you were required to wear a mask 😷 at the Paris pool , but that did not seem to be the case at Wynn. I am not a fan of outdoor mask wearing, in general.",
"@DrEricDing @JoeBiden Apart from setting an example, it may help that the President-elect is protected by a vaccine, as well as a mask, from COVID-19, in the interest of continuity of Government.",
@CreativelogicAC @philmann289 @chrislhayes The spike in cases is mainly attributed to younger people going to bars and other events without masks. The average age of a COVID  carrier is dropping,
@MrGuy025 @diannaESPN Yeah that’s because there’s no cure for covid don’t you want some kinda return to normalcy wear your damn mask it’s not that difficult follow a rule that’s the stupidest part of Americans can’t be told what to do god forbid if it makes complete sense 🤦🏻‍♂️🤦🏻‍♂️,
"Wear a mask, or else in 12 to 16 weeks you will get a sternly worded letter. Sometime after that, you will get the employment benefits you were owed 3 months ago. ",
Wear a mask 😷 social distance ,
"@EnglishTeach07 Because this close to an election, the state’s governor WHO HAD COVID @GovParsonMO still downplays the threat, doesn’t mandate masks and is far more worried about himself than Missourians. While cases continue to spike.",
"Wear a mask, y’all. WEAR A MASK! ",
@ChrisMWilliams Thoughts &amp; prayers? Maybe wear a mask! 😷,
the cognitive dissonance necessary to simultaneously view police brutality against black people as “made up” &amp; mask wearing during a pandemic as “tyranny” must be really exhausting,
anyway everyone have a lovely day and wear a damn mask💖💖💖💖,
@kylegriffin1 @bemuir_ronkon79 Better to let the public #COVIDIOTS get their vaccine early so they’ll stop being part of super-spreader events.  The rest of us are responsible enough to wear masks &amp; avoid crowds.,
Wear your mask. Love your neighbor.#WearAMask #MaskUp #Masks4All #LoveYourNeighbor ,
"@cobra6923 @alexrmillion @lifelearner344 @pdubdev Look, I’ll be straight with you. The science *is* inconclusive. There’s a reason for this. A proper RCT would take a decent sample of people and expose them to varying amounts of Covid. You’d have some wearing a mask, some not. Then we’d know.We can’t do this though.",
3656 of our fellow citizens died yesterday from COVID-19.    Let that number sink in. Wear a mask stay home as much as possible and show that you care. #COVID19,
"Now I’ve had covid twice, I laugh at you dummies even harder when saying “wearing a mask is important” well I wore a mask while I was in public and at the gym and still got that shit. I will continue to say it’s not worse than the flu.",
"@StevenBeschloss @DaleGeldart How christian of her. These people are Sunday christians Not that I am better , but I do have compassion for all people. Wear a mask.",
"Stay home. Stay away from people you don’t know. Don’t gather in large groups - at all. Wear a mask - and wash your hands. Avoid traveling, airplanes, restaurants and bars. Just stay healthy and home. Please ",
@JonOlivesss Oh boo-hoo!! The health and safety of your fellow ravers is far more important than the ability to go to any event. We will all rave again once it's safe to do so! Keep on wearing a mask and practice safe social distancing measures. We all must do our part!,
"🗣Yo, Philly💉 @PHLPublicHealth has rolled out the official vaccine sign up form 📱sign up here: 😷 Continue to wear a mask and practice social distancing",
@notdred @RidleyDM @ZoeMcLaren @BioTurboNick @ekgibbons @stewak2 @conorsen @VPrasadMDMPH ... with needing to wear a mask in public while people who want to get vaccinated are still waiting for their chances.,
@varindersingh24 I always wear a mask in public.😷,
"""...the United States finds itself in a fight for its life: swamped by partisanship, mistrustful of science, engulfed in mask wars and led by a president whose incompetence is rivaled only by his indifference to Americans’ suffering."" ",
"Covid is real...if people refuse to wear a mask thats fine, but dont expect to walk into somebody business without one!😷 Business meaning if your name is not on the deed, you follow THEIR rules. 🏢🚂🚃✈⛴🚍 just wear a mask this is not 4ever!😷@thenine",
@thelinnen @CJLopez43228733 @Terranomaly @Michell46436011 @taylorW26699573 @IngrahamAngle Thanks I’ll tell my dead daughter that. Love Thy Neighbor = wear a mask.,
Okay tonight starts a lift here on masks and socail distance...Riverside county....Be safe...I'll see you out there..Your… ,
"What is happening on the White House lawn with 2,000+ unmasked, not distanced cheering people in the midst of a global pandemic is reflective of our current leadership. The destruction he has caused by failure to lead is pathetic. His daughter likes the stage as much as he does.",
"So grateful we were able to squeeze in some downtime this week (away from our downtime). what a nice little beach town 🦚 🚗 💝 🏖🙏😷..Ps. masks and social distancing and nice humans everywhere.... super low key, low… ",
@RepMcCaul @TheJusticeDept Wear a goddamn mask.,
"@RWwatchMA @CharlieBakerMA @JoeBiden @kanyewest You have to wear a mask! My name is THE HIP-HOP REPUBLICAN! I’M A REAL BLACK REPUBLICAN! HILLARY CLINTON DIDN’T WIN SWING STATES LIKE OHIO, MICHIGAN, Wisconsin because she locked up too many Black men! What do you think 🤔 they will do with Biden/Harris? Throw a party 🎉? #Mapoli",
Wear a damn mask!!! ,
"Did I miss something along the way, school administrators, teacher and parents can’t make the students or their children wear a mask in public in school and it is now a choice?Fact:This is a pandemicHigh Risk -Sick or DeathWho is in charge ? Obviously Children and Students",
If you feel miserable and trapped by a mask 😷 you were and probably will be for life miserable and trapped mask or no. ,
"Stay home as much as possible, wear a mask, wash your hands. ",
@AndreMfnEazy Seriously! Just wear a damn mask ffs😷,
#CrazyHorse 🗿 #MaskSwap 👥 #Covid19 😷 @ Crazy Horse Mountain Monument ,
"Despite these numbers, .@henrymcmaster says “our plans is to have schools open.”He stressed everyone:- Wear your masks- Keep distance- Wash your hands- Take the virus seriously and stay especially from elderly people who are still most vulnerable ",
"I assume that all the players, coaches, and staff have all been tested and are negative for covid.  That being said why is anyone wearing a mask? #NFLKickoff #NFL",
The answer is right there in the 4th paragraph: “...some residents object to the government telling them to wear masks and how far apart to stand from each other.”They’ll be the ones to blame.,
"Now CRAZY @realDonaldTrump @potus has left the residence and was in the oval office. He has ZERO, ZILCH, NOTTA respect or consideration for anyone, as you know he's not wearing a mask. He STILL has #COVID19. #SMH #WTF",
"Every single part of this is the best thing I’ve ever heard &amp; makes me the saddest I’ve ever been that I physically cannot pack up &amp; go to it no matter how much I want to. @ my fellow Americans, wear a mask so I can stop missing it when @DruidTheatre lives out my dream journal?!? ",
"The most important information on COVID-19, all in one place - Get the facts! Stay informed, healthy and if you can stay home but if you can’t, youse your mask, take caution be mindful and alert! ",
4th highest day since the pandemic started.The community spread is in overdrive. This is serious. It’s not getting better.Mask up. 😷 Wash your hands 🧼 ✋🏻Social distance when you can ➡️ ,
"Mark Meadows, by refusing to wear a mask, is refuting proof that droplets linger in the air and will spread Covid19. What a poor example.",
The Coven demand you to WEAR YOUR MASK or prepare to face the 2nd wave of this pandemic.Stay safe and be a useful soul! #covid19 #deadsunscult @ The Coven ,
Why is anyone in the bubble wearing a mask lol y’all are getting tested every day there’s no COVID in there,
@WMUR9 Horrible and tragic. Please wear a mask and social distance. #2020worstyear #MaskUp,
I’ve been in college 5 years now and EVERY single finals week I get sick as fuck. I am not feeling well at all. The stress I guess or rona. I wear my mask literally everywhere and I hate people with a passion so not largas crowds for me. I’m just ready for finals to be over😭,
"Pelosi’s fmr GOP challenger almost gets it. It’s either: (A) there’s a massive conspiracy to infect high-level republicans (w/the best security) w/Covid, or(B) dem leaders listened, socially distanced, held virtual rallies, wore masks.Ask yourself, who do you trust to lead? ",
"Am I the only one who still forgets their mask in the car, only to turn around to go get it after walking in the store and getting the stank-eye? #Covid_19 #coronavirus #MaskUp #Masks #TexasCOVID #AustinTexas 😷😷",
"@duty2warn People argue that wearing a mask infringes on their personal liberty. By getting sick, one becomes a vector/spreader. Now their “liberty” jeopardizes others health!?!It’s appalling that people are duped into fighting against any real recovery from this pandemic. Two steps back",
"Do your part. Mask up. Wash your hands. It’s not about you. It’s about those who are high risk and are doing their best to stay healthy, but need your help. ",
" PANDEMIC: SCHOOLS SHOULDN'T OPEN EN MASS. SAFE OPENINGS, MASKS AND SEPARATE FROM THE INFECTED. SAFETY AND HEALTH FIRST. SAVING LIVES. @usgov @DARPA @CityofSeattle @wallstreet",
@GregAbbott_TX Gov. Abbott is recklessly releasing thousands of non-mask-wearing Texans who have COVID into Texas communities.The Abbott regime must IMMEDIATELY end this callous act that WILL KILL Americans (including Texans) from COVID.*Fixed It* ,
Doctor who bragged about not wearing a mask has his license suspended in Oregon ,
"@realDonaldTrump Oh well that’s the problem dont wear a MASK AND IT HAPPENS, COVID, NO MASK,NO DISTANCE, WASH YOUR HANDS?",
"Linn County, IA COVID-19 statistics effective 12/22/2020 per Since 12/10/2020:-676 more positive cases-18 more deaths-2740 more persons recovered-40 less currently hospitalized-37 more people total ever hospitalized#maskup #covid #coronavirus #iowa ",
"Lol this is proof that masks don’t work. If a whole band can play and not miss a beat while wearing a mask, how is it going to stop you from giving COVID to someone?🤷🏼‍♀️ ",
"@PattiMurin My name is Karen. I will say this though, I'm latina, female, I wear a mask, I'm a Democrat, and my hair looks nothing like a ""Karen"". Oh why did I have to be named Karen?",
wearing a mask is not about being afraid dumbass. it’s just common decency when we’re in a pandemic. ,
Why blame Trump? Leadership is needed to get US to wear masks. The biggest failure vs COVID is the USA.  This will lead to the worst economic failure. Trolls/Bots make this a political battle  Wear a Mask 😷Keep distance 🧍... 🧍‍♂️Wash hands 👐🏽Stay home order out 🍕Be Kind 🙏 ,
“Wear a mask; it’s a sign of respect.” — @ladygaga 2020,
"Oh really? Maybe if @realDonaldTrump &amp; @VP would fulfill their positions as leaders/examples and WEAR A DAMN MASK and NOT HOLD EVENTS w/o social distancing DESPICABLE &amp; UNCONSCIONABLE 130,000+ D.E.A.D. ALL on YOU!! @nytimes @JoeNBC @MarkMeadows @senatemajldr @JoeBiden ",
"@Ruhroe @DrEricDing If the US had any sort of coordinated response including ANY sort of screening at all major airports and mandates on quarantine for new arrivals the US would be in a significantly better place. And they ramped up PPE production, national testing - oh and wear masks!!",
@machine7 @SaraElyse128 @PlanetFitness There’s not been a dumbbell or plate to be found in town. All the meat heads bought them up before the shutdown. Sticking to running the stairs at St. Jude. Silly to go to PF and catch Henry’s COVID because he’s to weak to mask up.,
"@FLOTUS Wear a mask!  Get people who support your husband to take this virus seriously and wear a mask! Otherwise, there nothing worth talking to you about.",
"I propose we put a travel ban on anybody who attended the Trump rally in Omaha tonight. We are already in a bad place with Covid and it’s now going to just explode. Thousands of people were there, many maskless and now are going to go back to their communities and spread it",
@JakeAnbinder Obviously they aren’t literally unbearable and so I wear a mask when I’m around people. But I’m not gonna wear one when I don’t have to!,
"So a carrier of Coronavirus wears a mask, unbeknownst to  him he's a carrier.  A year later, when everything seems like it's gone back to normal and wearing a mask isn't necessary, the carrier goes out into the public marketplace and coughs one day.",
".@CityOfNOLA is celebrating Mardi Gras. You’re not invited. #NOLA @mayorcantrell is right to shut down bars, party spots. Protect the good. Sacrifice fun for life. Read my take at @NOLAnews. #StayAtHome  #MaskUp @nolahealthdept @LADeptHealth #MaskUpNOLA ",
@galaxybloom_ @jarradconnor @courtlanw I get my second vaccine shot on Friday and will continue to wear my mask.,
@PopBangHugh I always wear a maskI pet a cat todayAnd that Oil of Olay seems to be workingHappy Birthday 🎉,
"Remember to keep a safer distance, continue wearing a mask 😷 and wash your hands before you pick your nose. ",
Happy Thursday everyone❤ ❤❤❤!!!!  🎉❤🎉 Stay safe and wear a mask!! 🎭🎭🎭 #longbeachswimmer #gloriarincon #livinglife #swimming #veryblessed #lbswimmer #laughteristhebestmedicine #laughterisgoodforthesoul ,
"@jeffslinky61 @peripatetics @JFNYC1 @NYGovCuomo Exactly!!! People just don't want to wear the mask and be told to wear the mask.. So let's bash a guy doing his job. They say for him not wearing a mask in public but social distancing, people have a problem with that. People should ask whether or not is the mask in his pocket?",
"@BillyCorben Tucker is awesome! These guys make a lot of money to mislead the people! Theguy who is having rallies, not wearing a mask, not social distancing . Well he got it so if he can get it then why even try🤡",
Thanks for starting this initiative. #showmeamaskShow me yours: @kburnsmd@caseyhumbyrd@hell_on_heels@edinburghknee @orthogal21 @doctorMiry @mymomthesurgeon@mpayareslizano @brey_jennifer  ,
I bet if a scientist wrote this some of  you STILL wouldn't believe it!!!! Wear a mask. I'm sick of friends and family dying. ,
"“Ask not what your country can do for you, ask what you can do for your country.” I PLEDGE TO WEAR A MASK FOR 100 DAYS. PASS IT ON. 😷 ",
In our opinion: The evidence is clear: Getting back to normal means wearing a mask ,
"@nickisnpdx @andrewintech @kimberlyanngeo @JamesBBristol @jameyedwards @JulieReisetter Thanks, Nick! It’s an easy gift to give and makes life more fun during a time when people are feeling anxious. Every time I wear my mask and/or t-shirt I get lots of happy smiles and it opens the door for happy conversations. Grateful. ",
😳 I just received my first push back. Clarification: I don't care if you sport a mask😷 or not. I am available to assist the IET Energy Therapy Angels 👼 to help you recover from Covid 19 or any other trauma.  #nojudgement  ,
"Monday August 31, 2020 for those losing track of time. Day two without Social Media and TV news. Be safe, stay healthy, wear a mask! @ Brandywine Park ",
Wear a mask. Go through the damn metal detector. It’s not that hard. Kids do it every day at school. ,
the hardest part about COVID is wearing earrings with masks,
"It’s criminal that Pence, who has refused to wear a mask, threw super spreader events, and “led” a disastrous national response to the virus, is getting the vaccine today ahead of every nurse I know and so many essential workers",
Stay home. Wear a mask. #COVID19 ,
So now college football coaches think they can out work a virus. Not sure why we bother with science departments at these great institutions. #WearAMask ,
@vision_sacred @ProjectLincoln @kurtbardella CDC said that COVID-19 was transmitted mainly in respiratory droplets to nose mouth and lungs. Dr Fauci and Dr Adams should have recommended masks earlier.  Many lives would have been saved,
"So yea ... today I was on CBS News discussing the Marlins COVID-19 outbreak and how it could impact an NFL season. Special moment. You don’t imagine too many moments like this from Memphis, TN! I attached the full link below. Wear a mask everyone. ",
@realDonaldTrump TheONLYnewsIsHowBad #Covid isSurgingUrChoice2NotAcknowledgeMakesItClear:UknowSurgeIsSourced2 #Loyalists WhoAttendedURrallies!#BLMProtest NeverSurgedLikeThisBecauseWeWoreMasks🤔 #EnoughOfTrump #5150Trump ,
"No one wants to hear the social distancing nonsense any longer when you have all these people congregated close together, many times not even wearing a mask. Fuck off. This shit is over",
"My mother, who hasn’t left the house unless urgent since March and spent her time completely isolated living alone, has tested positive for Covid-19. So if you are out here in this world not wear a mask know that I absolutely HATE YOU. Wear a freaking mask!",
I know that #WNC has been a relatively safe place re #COVID19. But it looks like things are changing. #WearAMask #NC11 ,
"... be responsible. I found her on LinkedIn, a peer of hers lost a family member to CV19 beseeching people to wear a mask. Brandy's response ""Sorry for your loss"". Can she be trusted to run a research facility? 3/3?",
"The death cult cheers, as the authoritarian vows death to all those who opposed him. And not wearing a mask is a symbol of loyalty ",
"My son had a gymnastics meet yesterday in Gilbert, AZ, at a local gym. I was highly disappointed in their Covid precautions. They didn’t have social distancing. They didn’t enforce proper masks, worn properly. I saw coaches out on the floor with noses hanging out of their masks",
"Prayers to all who have lost a loved one or are battling #COVID19. We are all in this together and we can only make it out alive together. Protect yourself, wear a mask, practice social distancing, stay home when possible and wash/sanitize your hands. ",
Read this thread and WEAR A MASK. ,
"@GeeRee4 @Red_Head_Ed @ScottGottliebMD I read about “quarantine fatigue” where people no longer wash their hands as often, wear masks or social distance because the human brain gets tired and “relaxes” previous cautious behavior to prevent COVID-19. There likely will be a second wave until a vaccine is available.",
while i’m certainly hopeful for a vaccine i remain incredibly despondent about our ability to actually respond to it (societally) the way it will be necessary to respond to it.6wks to 95% effectiveness assuming social distancing and masks and shit?we gon fuck this up too,
"Sure am glad we talked about masks at the meeting only to have the same people continue to not wear their PPE correctly with no repercussions 🙄 save your breath, honestly",
@Norman_MStewart I gather that we would disagree with a lot. 😂 That’s okay. #WearAMask 😷😜,
"To the young, keep urself safe and mask up, take ur hand sanitizer w/u &amp; stand in line as long as it takes and vote!  Never hold a violent attack on a ""race""...but vote.DJT is to blame for much of it.  Shouldn't have dismantled HHS admin ppl.  We could have been ready! ",
"10/18 USA is 4.3% of world population. 219,667 deaths=20 % of world’s deaths. The #TrumpVirus continues to kill people. More cases everyday and winter is approaching. #MaskUpAmerica 😷, wash your hands and socially distance. For now it is the only way to stay safe.",
WHAT A TOTALLY FUCKED UP HUMAN. THIS IS WHAT Y'ALL BE THINKING WHEN YOU'RE ASKED TO WEAR A MASK???? THEN WHY DID Y'ALL COMPLY WHEN THE SEAT BELT LAW CAME INTO PLAY??? I'LL WAIT🤔🤔🤔🤔🤔 ,
CONGRATULATIONS TO @TinhornFlats ! See you in Hollywood December 12 at NOON wear a mask and do social distancing #RecallNewsom #openandsafe #savesmallbusiness #protest #stoptheclosure  ,
"@Sarah_Katilyn @marinamaral2 They had the same problem we did after quarantine. When san Francisco lifted their initial mask mandate, flu cases skyrocketed again, but folks weren't as eager to participate a second time..",
What is happening right now in DC is the craziest thing I've ever seen. All Republicans bunched together with no masks and it may be a purge of the Republican party with covid19 around they are endangering their own lives,
Since y'all are friends can you mutually open the borders safely?? All it takes is a negative covid test and a mask. Not that difficult. #LoveIsNotTourism #LoveIsEssential ,
THANK YOU to all Healthcare Heroes and First Responders who continue to serve on the front lines during this pandemic.  We appreciate all that you do!  😷 🇺🇸#HealthcareHeroes#COVID19#MaskUpLouisiana#MaskUpJeffersonParish#MasksOn#DocsForMasks#jpms ,
"No one! It’s bad; it’s getting worse; and, until we test three or four times as many people than we are testing, it will continue to worsen because we have spreaders out there without symptoms! WEAR a MASK! ",
"Spectator policy: two adults per student athlete are allowed at home games only, no fans will be permitted at away games, no student fans at home or away games, and masks &amp; social distancing required at all games 😷 @NHS_MustangsThis weekends live-streaming information below👇🏼 ",
WEAR YOUR MF MASK AND STOP PARTYING!!! This is not okay at all yoo ,
"@DareTGL @IAmJericho @kingsthings @TalkIsJericho Simple stuff like saying it’s not a death sentence, retweeting a person asking how to get “useless” covid notifications off their phone, continuing to play shows during an ongoing pandemic to crowds of maskless thousands, and the classic “oNLy 7 cAsEs??” Come on, now.",
