id,tweet
35,"@drea_ams LOL INTERESTING! 

YOU JOINED TWITTER AUG 2019 RIGHT RIGHT IN TIME FOR THE CORONA VIRUS PANDEMIC...

WHAT DO YOUUUU KNOW??? TELL US MOAR!!!

ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£
#SPILLTHEBEANS #COVID19 #coronavirus https://t.co/LVcR7GaA6K"
36,@_abigailelainee @Bubba_Dade We already had the corona. Im immune
37,@Drebae_ ðŸ’…ðŸ½ðŸ’…ðŸ½ hey sis https://t.co/mOPKG24asa
38,Lmfao https://t.co/IRIzdFb83h
39,Since You Mofo's Can't Understand How Serious This Corona Virus Pandemic REALLY MEANS!!!! STOP BEING PENDEJOS AND PENDEJAS! YOU MAY SURVIVE BUT YOU CAN SPREAD IT TO YOUR LOVED ONES ANDâ€¦ https://t.co/2LGH9oPRlX
40,OH FUCK https://t.co/9kSnaz4NxO
41,"when i went to the ER Jan. 6, I had the same symptoms of corona, they told me it wasnâ€™t the flu, but an Upper Respiratory Infection..."
42,Animal crossing is gonna cure Corona Virus.  Calling it now.
43,@TessaKeough @grayfoxSOF @JSODonoghue @ron_fournier False narrative. WHO did not offer test kits; Per Director; but Trump never asked. WHO gives corona virus tests to underdeveloped countries for free. USA likes to go itâ€™s own way.
44,Only one pain that hurts more than the corona virusðŸ¤§
45,"I remember I cried because it hurt so bad. Iâ€™ve never been sicker in my life. Couldnâ€™t move, couldnâ€™t breathe, couldnâ€™t eat for two weeks straight. Constant fever and coughing up spit 24/7. Whatever this was, I had it and donâ€™t want it ever again lol https://t.co/WPiqEExywT"
46,"Corona virus 

Me using soap and water: https://t.co/60NP3AdThP"
47,same.. i was hella sick during the holidays too. https://t.co/u0tGDHNJjA
48,"@CashApp Can SOMEBODY HELLLLLLLLLLLLLP MEH ......am I still here or can anybody see if I'm blue, She's two and WTF IZ GOING on, MI CORONA OR hayyyyyy SHEEERONA"
49,all the strippers gotta start making house calls fuckin w this corona
50,Been saying this https://t.co/aYxLiSjmCa
51,One cough and got Corona virus
52,And people still vote for a candidate that stated heâ€™d veto Medicare for all. https://t.co/APHlEZr00p
53,"Itâ€™s my wifeâ€™s birthday. If you donâ€™t wish her a happy birthday, Iâ€™m givin you corona virus."
54,"Weâ€™ll all know mid April is you took all the rice and beans!!!  ðŸ˜‚ðŸ˜‚ #covid_19 #corona #beachbody #stayhome @ Acton, California https://t.co/7EB0eqH81a"
55,"Interesting and ScaryðŸ˜³

I didnâ€™t know much about Covid-19 until I read this article which change my perception to the pandemic. 
Best explanation I have read about the corona virus: Feeling confused as to why Coronavirus is a bigger deal than Seasonal flu?"
56,HAPPY CORONA BIRTHDAY PAZZI!!!! https://t.co/gDtpmNTU1t
57,this old big belly havin ugly ass dude just said â€œya know smoking causes your balls to shrinkâ€ i just said â€œyupâ€ ...can this corona virus target people that dont mind their own business?
58,If you posting pictures of your hospital bracelet Iâ€™m automatically thinkin you got the corona virus.
59,"I'd recommend her book ""The Big Ones"" but... the libraries and book stores are closed.  So....  just read her blog about this sort of thing. https://t.co/BvIWYEaGAf"
60,@Nerd_Jelena @aaroncbailey @soarescode Oh yeah. As soon as youâ€™re certified corona free
61,Unexceptable. https://t.co/YfP77ta8py
62,"We just got baby chicksðŸ¥ðŸ¤
We'll be having more eggs soonðŸ¥š

#lockewoodacres #backdoorbistro #visitvacavilleca #downtownvacaville #solanocounty #solano #corona #vacaville #organicfarming #gardeningâ€¦ https://t.co/5SJX1S6VIf"
63,Just got back from the doctors because of all the corona scares &amp; ive officially tested positive for missing the homies
64,"@drcateshanahan From Dr. Darren Schmidt DC @realfoodcures 
Hypericin from the herb St. John's Wort: 

""extremely high toxicity towards certain viruses notably the class of enveloped viruses"" 

https://t.co/nqFDWPz6dX

Corona is an enveloped virus. Why not?"
65,everyday I have a stronger need to punch a rich person in the face https://t.co/HTIEsaGx97
66,#MSNBCanswers                               Here is my question after todayâ€™s WH Press briefing. We know how hard it is to get tested in this country for Corona virus and why but how is it that when people are asymptomatic all should not be tested ASAP!
67,Canâ€™t believe this corona virus rlly shut down my job fucking bitch
68,Bruh if you donâ€™t die from the corona here in the US youâ€™ll mos def die from that hospital bill! https://t.co/LiQ2E11eA5
69,"If Corona doesn't kill us, Distance Learning will https://t.co/kiqX6mMNAW via @YouTube"
70,@GottaLaff Iâ€™ll be honest I cry at night sometimes bc I felt like Iâ€™ve abandoned him but Iâ€™m very sick donâ€™t know if I have corona but I have a horrible dry cough and canâ€™t breath very well
71,"And welcome to the stage..., Corona Virus!!! Or Miz Corona if ya nasty."
72,"@weyerrpr @PDXEleven @jabinbotsford @realDonaldTrump Caused by a viral mutation in the corona virus from WUHAN.
 acceptable: The Wuhan Virus
The Corona Virus, COVID-19.
Unacceptable and inappropriate given the attacks on Asian Americans: The Chinese Virus."
73,"A friend sent me this for your consideration...
Trip out. The Disney movie â€œTangledâ€ Rapunzel is isolated in a castle called corona. In the kingdom of corona. Lol. Coincidence?  Hahaha."
74,@Graham__Hancock Look! You can almost see the corona! https://t.co/Mj4VB6W8jI
75,PLEASEðŸ˜© I refuse to cancel my 21st birthday https://t.co/2oVdA8HkTW
76,#Attacked they gonna get whatever body I give it! https://t.co/CtKx8LsZTD
77,Sadly it needs Kylie to say some shit like this for people to listen https://t.co/USp16Xqoq8
78,"@BillKristol how about if we spend $2B to find out if Trump is a Russian agent systematically taking *every* step to ensure maximum chaos in the U.S. right now? These past 3 years I've often wondered if Trump could lower US defenses for a Russian nuclear attack. Yeah Corona is ""novel"" alright"
79,They should all resign. We don't need this now. https://t.co/gJB0Qyyut7
80,Animal crossing created the corona virus so everyone can play the game
81,corona virus aint shit lol my ex best friend was more toxic
82,my anxiety levels are literally through the roof right now i need this corona shit to end right now
83,"They should name the vaccine to the corona virusðŸ¦ : modelo
so when you pull up to get it the doc will tell you â€œitâ€™s modelo timeâ€ ðŸ»

@realDonaldTrump"
84,What an inebriated and unmyelinated frontal lobe looks like ðŸ¤¯ðŸ˜³ https://t.co/8S27ZMfPJZ
85,Corona virus: donâ€™t touch your face dentist: puts his entire hand in your mouth
86,Let me get this straight the medical industry has taken advantage of a patient?! Truly shocking. https://t.co/ktooNjbXQH
87,from everyone at Nicolosiâ€™s: we â¤ï¸LOVEâ¤ï¸ this!!! thank you INSANELY for the support &amp; sticking with us thru this crazy/hectic time!! &amp; holding out thru our busy wait â¤ï¸â¤ï¸â¤ï¸ https://t.co/AKq5QxYpia
88,@brithume @EricColumbus That he's too stupid to answer the question doesn't make it a gotcha question.  Maybe he was too busy before the briefing with his sharpie crossing out Corona to think about actually addressing the public - many of whom are under shelter in place orders.
89,we were planning our honeymoon in southeast asia and china so iâ€™ve been following this since december and danny is FED UP with me ðŸ’€ this has been all i talk about for MONTHS https://t.co/sj8GC7OxYe
90,Will Illinois tax the corona virus? Stay tuned to find out.
91,"@WhiteHouse We aren't dealing with the Spanish flu West Nile Zika nor Ebola. It is the coronavirus 19 &amp; it's now  the American virus aka #TrumpsPandemic. Now get to work.

The video's been circulated where Trump's sharpie changed Corona to Chinese. This is his doing &amp; it's wrong &amp; hateful."
92,I hate all this corona virus shit ðŸ™„
93,"# of ICU beds in our county &amp; neighboring counties:
Colusa - 0
Sutter - 0
Glenn - 0
Lake - 8
Yolo - 14
https://t.co/MhWywCLXPJ"
94,Going to Monterey tomorrow i hope i dont catch the corona
95,What if on top of all this corona virus stuff the San Andreas fault also decided to go as well. Good vibes everyone.
96,"Damn! The government under Trump is responsible for the Mismanagement of this whole disaster let them pay!

https://t.co/Z7trRzjfhI"
97,@conmatias I never said the corona virus wasnâ€™t real. Also the meme was to inspire people to keep working from home. Keep being a great citizen DUDE! ðŸ‘ðŸ¾
98,"ANDREW AFðŸ˜‚ðŸ˜‚ðŸ˜‚ 

ALL morning! Lmao https://t.co/pGTu7iDACz"
99,"How would you like to #quarantine here at our latest project,  #FirstPoint in #Malibu?  To me, this view is a reminder of mother natureâ€™s vast potential for #healing. Plus, when the #corona sadness is over, you canâ€¦ https://t.co/urAM58fT1K"
100,"Outside: #Coronavirus Has Devastated the #ThruHiking Season. ðŸ˜¥
https://t.co/hlaW7XIQRw
#pct #pct2020 #backpacking #trekking #hiking #AT"
101,Corona Chronicles: Anti-social distancing #latergram #thatplanebetterbeempty @ San Mateoâ€“Hayward Bridge https://t.co/DBZGzcO5Cj
102,Shouldâ€™ve sued the car wash before corona I wouldâ€™ve been set lmao
103,This is facts ðŸ¤¬ had 2 trips planned as gifts to myself and TheRona straight came in and said â€œuhh... TFâ€ lol https://t.co/mBWp38Mcxf
104,"ðŸ˜·Imma practice what I preach &amp; keep these chocolate cheeks in da dayum house! You should try it! Itâ€™ll help get rid of Da Coronta!ðŸ˜·
#corontavirus #socialdistancing #homesweethome #corona #asthma #instafunâ€¦ https://t.co/LmJAbFQGno"
105,Iâ€™d rather get corona than see another â€œchallengeâ€ post
106,Holy hell!  FedEx that bill straight to tRUMP! https://t.co/Uy797vstST
107,$50 says she didn't know about coronavirus until she was paid to do this video https://t.co/TpzcJZIOYN
108,Tri Tip and a walnut Gorgonzola salad. Had to feed jacant16 a solid meal before poker. #foodporn #steak #gorgonzola #corona #quarantine @ Mather https://t.co/J2L7WmAqXl
109,The whole world fell apart once health wasnâ€™t there. HEALTH and LOVE is all that matters â™¥ï¸ðŸ™ @WomensHealthMag #health #healthiswealth #healthylifestyle #corona #covid_19 https://t.co/u0ZJQSCgtW
110,Means you never washed your hands before the corona virus! That you donâ€™t know how to wash your hands and need tutorials??! #seriously
111,"Here we go.. and he concluded that â€œan orange haired leader (!!!) would go on national television (!!!!!!!) and deny the severity of the plague (!!!!!!!!) until he caught it himself.â€ Well.. he got the last part wrong, but hey, it was like 1,000 years ago when he wrote that! https://t.co/AIhY6QjrA1"
112,"Striving to live my best life during the time of self isolation. 

â€¢
â€¢
â€¢

#poppy #california #corona #covid_19 #director #womeninfilm #femaledirector #black #art #film #movie #feminist #mentalhealthawarenessâ€¦ https://t.co/iIQ56ARKgj"
113,This corona virus killing all the hoes shuga daddies ðŸ˜©
114,"A little sunshine and fresh air along with social distancing and fresh air to ward off the corona virus. @ Plymouth, California https://t.co/Nh4BE6auRH"
115,"With this whole corona virus business, it's good to just get out and hike. @ Rancho Canada del Oro Open space https://t.co/MfPqmYZ8bj"
116,@MendoSheriff this one kept us laughing all night last night and still is today. https://t.co/n4vokVfsDB
117,Not widely known until now nor fully disclosed the media https://t.co/pB5Hnohd5f
118,@bvzpxr @Coldh4rt covid-19 stands for coronavirus disease 2019 Cuz like the other bruh said it came out in December 2019. the reason for the need to specify is cuz there b hella other types of corona viruses so they specify the year for this buddy
119,"#COVID19 advice from @nycHealthy ...

ðŸ¤” https://t.co/Z8qdVTlKKm"
120,Lmao this is how itâ€™s gonna be lol https://t.co/VPwszQtjJQ
121,"Sometimes you got to stand up and fight for whatâ€™s right. Time at home = more time to edit!
Hope you all are having a nice end to your socially distant weekend! Peace and Love.

#sunday #weekend #march #2020 #coronaâ€¦ https://t.co/3WsVqt2fpM"
122,I could listen to @thisisrozzi sing all day long!!  (I actually do listen to her sing all day long...lol she fills my playlist!) https://t.co/eAEuh3kto3
123,"â€œBut is Corona, Jimmy itâ€™s finna get Cor-razy in hereâ€ ðŸ˜‚ https://t.co/Sjge7empFm"
124,I deadass went to church the other day and did this ðŸ˜‚ðŸ˜‚ https://t.co/dkrZNWuc1t
125,I actually quit vaping since all of this corona stuff
126,I honestly believe the corona virus is in the vaccines theyâ€™re giving! not in the flu like symptoms ðŸ¤”ðŸ¤”ðŸ¤”
127,"Run like a Savage, Throw like a Sniper, Kick like a Surgeon... #triplethreat #quarterback #kicker #scholarathlete #seakingfootball #cdmfootball2021 #fearthespear #danevoorhees @ Corona del Mar, Newport Beach, California https://t.co/eIvOE542TW"
128,"â€œSome consider theyâ€™re little heroes when they break the rules,â€ French Interior Minister Christophe Castaner said. â€œWell, no. Youâ€™re an imbecile, and especially a threat to yourself.â€ https://t.co/QM8CdwC4fU"
129,"What are you binging on? #happyathome #quarantine #lifeathome #covid_19 #corona #instadaily #instagram #instamusic @ Malibu, California https://t.co/rn62mZCPtG"
130,ðŸ˜‚ðŸ˜‚ðŸ˜· people trippin https://t.co/9hd4io0XPz
131,"Despite not being carriers of the disease, the Corona Pandemic is affecting our four-legged friends too. With reduced staffing and fewer adoptions, shelter staff are stretched to the max. In support of our rescueâ€¦ https://t.co/3BGZ0fSx15"
132,.@RandPaul i thought your father said Corona Virus was a hoax? What do you say to senior citizens that has been exposed because of your fathers direction &amp; information had  led them to have the disease &amp; are dying? #SundayThoughts #RandPaul
133,If the corona virus ruins my 1 chance to see @KoeWetzel in Cali Iâ€™m gonna be big madðŸ˜ž
134,@Sassie_Lassie ðŸ¥¶ here in stormy So Cal. Iâ€™m still working (essential personnel) and staying clear of Corona. Hope youâ€™re doing well
135,Well- https://t.co/AsexWkKvEg
136,This is truly incredible... The American people need help NOW. Our entire economy is about to fall apart. Retirement accounts are going to get crushed again tomorrow. https://t.co/uakv3XwM0B
137,If the Corona virus cancelled all sports then why is he still playing games with me?
138,"The lady licking ice cream started the corona virus.

Eat mangoes instead"
139,The Corona Virus ðŸ¦  #COVID19 is reminding me of the episode from #StarTrek  â€œMiriâ€ where all the adults died and just left kids. Of coarse the landing party got it and of coarse #DrMcCoy came up with a cure. https://t.co/WWhK99WoDD
140,"COVID-19 symptoms: loss of taste and smell, cough 

nicotine addiction: loss of taste and smell, cough 

my anxiety: thru the roof wondering if i have corona or if itâ€™s the nicotine"
141,"Outside being thankful that we live in a place where we can be outside.  Thankful that we live in the greatest country in the world!  Truly blessed friends!
#blessed
#getoutside 
#norcal
#corona 
#socialdistancing @â€¦ https://t.co/mtFtD9fOxC"
142,You get what you deserve ðŸ¦ ðŸ˜· #karmaisreal #coronavirus #Sagittarius https://t.co/j8YVgf7Iqu
143,"""I dont wanna kiss you, i dont wanna touchhh"" heh like corona amirite https://t.co/yeHiHbas2K"
144,"How is Corona impacting your social life?
.
.
.
#thedisneyromantics #coviddisney #disneycovid #disneycoronavirus #disneycorona #disneymemes #covidmemes #funnymemes #covid19memes @ Walt Disney World's Splash Mountain https://t.co/GJW6bbOsht"
145,so uh a guy three doors down from me has corona â¤ï¸
146,Thought Tim Lincecum caught the corona cause he was trendingðŸ¤” Turns out they were just re-airing a no-hitter game of hisðŸ¤£ https://t.co/n8vu5ek5R3
147,"She legit told us to ""Forget Corona"" lmao https://t.co/XBCL6Amjk8"
148,I just want eggs and toilet paper ðŸ§»  #COVIDãƒ¼19 #lockdown #Corona #californiashutdown #californiacoronavirus https://t.co/Hnt1Og4tKf
149,"@nenasullins @ChuckCallesto Nancy is not giving in to Mitch McConnell's ""Slush Fund"" for Corporations.

What a Whiner! You will get help to pay your bills.

But many of us may not had needed that help if...

In January he thought the Corona Virus was fake news! https://t.co/0Ui40ZA2TJ"
150,Fucking corona time ruined me reuniting with my best friend ðŸ˜­ðŸ’”
151,"@realDonaldTrump @RandPaul Itâ€™s the Corona virus you idjit, quit calling it the Chinese virus. Your stupid followers are going to start harassing Asian people and their stupid kids will harass the Asian kids at school. Itâ€™s already happening..."
152,Corona sucks
153,Thereâ€™s gonna be an earthquake in May thatâ€™s gonna stop all the corona virus talk ðŸ”®
154,This is why Iâ€™m staying the heck home https://t.co/1oDqqaU0V1
155,I was gonna invite all my friends out but due to Corona virus I can't anymore ðŸ¤£
156,The corona virus needs to fuck off because Iâ€™m really tired of being home all day
157,"Corona lockdown must have people hella bored, because the amount of friend requests Iâ€™ve received on Facebook has skyrocketed."
158,"I've decided fuck it, fuck corona , come gimme that shit already then im sick of this lol"
159,This corona virus is really gonna make me fat bc I have nothing else to do but eat ðŸ¤¦ðŸ¼â€â™€ï¸
160,This corona  virus is affecting people but work is not important  now I think staying  at home  is better the guy who's asking to vote is so dumb how many people are homeless thanks to this virus people are scared to even rent a room cuz of virus counting how many people willDie
161,"Imagine being in a cult 
I could never https://t.co/cgSHu6FTFG"
162,"Everyone in â€œPublic Serviceâ€, from the US congress down to your local@city council, protecting their own I stead of the public. Some service. https://t.co/dI60u3y1GI"
163,@fieldnegro Replacing it with Corona virus that should reduce the number of uninsured
164,@EmrgencyKittens Corona came from you so gtfo you cute ass bat
165,Shower Door Assault Mitigation Specialist. https://t.co/dpYmynGnFL
166,this corona shit is ANNOYING MAN like really 2020
167,LMAOOOO Christian had a corona inspired grad photo shoot
168,"@kolabearr I couldnâ€™t imagine corona virus while I was in school, Iâ€™d die lmao"
169,Found the cure to Corona #rona2020 https://t.co/qId8ubcVP4
170,"This man had NO underlying health issues and DIED 

Is everyone listening now???????

COVID19 DOES NOT DISCRIMINATE AND CAN KILL *ANY* OF YOU https://t.co/JntwQeGeyH"
171,"@js_edit How many people do you know who has actually taken a cruise?
Everybody flys. Who the hell still takes cruises? Even before Corona, bad ink horror stories and a down tick in ridership has been a issue."
172,Nigga what cheat code you using? https://t.co/PtxHWSOGFA
173,Currently working with a client that is in the process of manufacturing a corona virus test that give results within an hour.
174,If I survive the corona virus ima get a tattoo period
175,You are truly nuts! https://t.co/VMVk1QVNew
176,"Can the corona virus frickin chill, Iâ€™m tryna meet my future ex husband"
177,Medical assistant bitches this is your time ðŸ™ŒðŸ¼  that heald college paid off ! Help us from this Corona virus ðŸ¦ 
178,Bad enough you had to worry bout if these hoes had that burn now you gotta wonder if they have corona.
179,I think he loses too but I feel like the GOP gonna pull some random clause out the constitution thatâ€™ll keep him in office during the pandemic https://t.co/0AAvkqmrJM
180,corona cooking | simple soy bean sprout rice #ì½©ë‚˜ë¬¼ë°¥ #shelterinplace watch my tiktok for the recipe @ San Francisco Bay Area https://t.co/wfm9jbzOyO
181,Me running from the corona virus like https://t.co/e5ljKCvPuj
182,"With all due respect, fuck this guy. https://t.co/c2xso0kwA7"
183,We hoopin today? You canâ€™t have corona though or else you canâ€™t come lol
184,"Excuse Me Sir, what's your address I'm sending Jussie SMOLLETT &amp; a few Imported ""Black"" RACISTS over to, ahhh adjust your thinking.  Sign:  SPIKE LEE https://t.co/wu5YZoB4UE"
185,@____akua Look like Corona Grandpa ðŸ‘´
186,"@SenSchumer You are putting your partisan politics ahead of the American people. STOP the partisan games, APPROVE the Corona Virus stimulus bill NOW! The bell has rung, now means TODAY!!!"
187,"@SpeakerPelosi You are putting your partisan politics ahead of the American people. STOP the partisan games, APPROVE the Corona Virus stimulus bill NOW! The bell has rung, now means TODAY!!!"
188,All we did was talk Corona https://t.co/72PyXQTg8y
189,So no Corona Task Force briefing.  But a lie fest on FOX.
190,"I miss fishing already... ðŸ˜« Dam you corona virus. Shit is getting real!
#therealhan #fishing #lakecasitas #luckycraft #shimano #curado #fish #bass #largemouthbass #coronavirus @ Lake Casitas https://t.co/bE5ZmNCGyn"
191,"@BenJKest Gavin Newsom I donâ€™t like him, but like the way he has ben handlings the entire corona virus situation."
192,"@OwnerOfABoner_ @WubsNet @Bellacats1953 @MomKindleLover @MichaelCoudrey @BuskerK9 @NBCNews No, its like someone telling you Corona will help you!  So you go get infected with Corona virus rather than getting a 6 pack of Corona."
193,Guys would rather catch the Corona virus then catch feels for me smh
194,"Put on the Corona Antivirus Hat and strengthen your immune system  
I got this Corona Hat from MÃ©xico and recommend it to all friends and family. It is composed of nature walks and hikes, and it helps you get theâ€¦ https://t.co/uAUkKgYbC2"
195,"@JGHorn I understand your comment on the corona virus and racism might include â€œthe Chinese virusâ€ but thatâ€™s just a way of saying it. Like â€œthe Korean movieâ€ is probably talking about Parasite.  Just a quick way to describe things, the listener takes it how they will + or -"
196,"@realDonaldTrump please make a big sulfur or Sauna since corona virus will dies in the heat at 133Â°F. And also try to let them drink a lots of cups of blended Ginger, blended garlic, and a lemon juice. It will help the corona patients lessen the virus everyday."
197,@ABCNewsLive  Does getting a pneumococcal pneumonia shot help at all with the Corona Virus?
198,"@TuckerCarlson Tucker I havenâ€™t heard anybody say this Corona Virus could possibly be a Biological attack.  

What do you think?"
199,"Madonna, Hanks Tweet From Corona Quarantine, Stirring Pedogate Scrutiny - https://t.co/7MAYSs4GZZ"
200,Restraining https://t.co/VYNsIAkiPL
201,if corona doesnâ€™t take u out can i
202,Idc that Bretman is gay he can choke the SHIT outta me https://t.co/5eOtfy7J9E
203,"@realDonaldTrump please try to make a sulfur and sauna for the corona patients. Virus will killed through the heat @ d temperature of 133Â°. And also feed them with a blended ginger, garlic, and lemon. It will help fight the virus..there's nothing wrong to try it Mr. President.."
204,@dangerookipawaa Itâ€™s not bad tbh. Caught myself doin the same. This Corona need to come around more often for the traffics sake
205,$36 an hour?! Thank you corona virus ðŸ¥³ðŸ¥³ðŸ¥³ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°ðŸ¥°
206,"Wow, I dont know one single ""regular"" person with Corona virus but I sure know a shit ton of Hollywood Elites, Politicians, Althletes and now Prince Charles?  Give me a break.  Who's next? Joe Biden, J.Nadler, Nancy P, Queen Elizabeth and Prince Andrew? What a strange coincidence"
207,"The cruelty of #COVID19 pales in comparison to the callous disregard #Israel has exhibited in #Gaza. ""This is an obscenity - one of many in the Middle East - that no western government can afford to maintain."" @davidahearst https://t.co/DcD3fjkSNz"
208,"I don't get this, why would U run &amp; ESCAPE an OPPRESSIVE practice just 2 Start the Practice in your new land??? https://t.co/eSEIISmK0H https://t.co/kGthvVLfLB"
209,Can corona wipe out all the royals for Megan and Harry?
210,"Yooo, baseball for xmas!?! Corona virus is about to give us the best holiday season with so much sports, itâ€™s gonna be epic. IF we survive ðŸ¤·ðŸ»â€â™‚ï¸ https://t.co/ut1zUIqnTh"
211,"Customer at work yesterday asked me : Do you know why we have Coronavirus?

Her : Because the Mexicans canâ€™t stop drinking Corona beer.

I get itâ€™s a joke, but Iâ€™m Mexican.. she wasnâ€™t.."
212,Anybody else just randomly yell â€œcorona virus â€œ in Cardi Bâ€™s voice?
213,Its 2021. You and the boys are at a brony convention having a room party in your hotel. It's the first time seeing each other in a year because of work and the corona virus. You crack open a few cold ones with the boys and start tearing up as you realize your friends survived.
214,Got a notification that Prince Charles got the corona and my half asleep ass started cackling and immediately fell back asleep
215,The corona virus not only does it affect people with bad immune systems it affects lazy ass ppl that donâ€™t wanna get they ass up to work ðŸ˜¹ got yo money up not to funny up âœŒï¸ðŸ¤‘
216,"And this why I donâ€™t trust the govâ€™t

anarchy reigns supreme https://t.co/HmarWI56HD"
217,"eyy, itâ€™s corona time right now"
218,"The average person doesnâ€™t know you canâ€™t trust the WHO and these numbers. Many were given faulty tests on purpose, to raise the positive results, and create more hysteria. #Corona #Coronavirus #TheGreatAwakening #WHO"
219,"After this corona virus is over, Iâ€™m never gonna say no to anything fun ever again."
220,"March to spread awareness on the corona virus, April 1st! You coming?"
221,@FindingSeffie @KickBack_Chris @db2trendy Thanks for finding the cure to corona virus sis ðŸ™ˆ
222,So my mom just told me they arenâ€™t testing anyone under 25 for corona is this true
223,this the worst setback ever fucking corona virus got everything fucked up
224,@Antigone @MaraWilson Probably canâ€™t give a ticket either with this corona thing going on. Just sayinâ€™
225,i just wanna see my mannnn bro.. why corona gotta take that from me â˜¹ï¸ðŸ’”
226,"@Praydrian IdiotðŸ˜‚ðŸ’€
Thatâ€™s for sure your corona neighbor @Jesusinho70"
227,@annafifield @austinramzy @John_Hudson @smekhennet @derspiegel It is officially known worldwide as the corona virus or covid19.
228,Thank you ACEP @EmergencyDocs for having our back! https://t.co/rVnkceoWE4
229,Out Exploring. #radpowerbikes #bigsuradventures #actorlife #actor #filming #art #graffitti #montereybay #california #fortord #bicycle #friends casadegreen #beer #food #corona @ Fort Ord Dunes State Park https://t.co/BCG97qhABc
230,I gotta see you bae ðŸ˜­ u probably aint gonna see this tweet but i love Tee Tee i swear i do and fxck this corona cuz im still comin to see u â¤ï¸
231,"What do you do when itâ€™s too windy for a enjoyable hike, gotta stay away from people but still need to get the dog out and get out of the Scamp? Look at some crazy sculptures!  #art #dogs #corona #californiaâ€¦ https://t.co/IIY1Fbau07"
232,3 of my friends have gotten Corona pups. Is this a thing or is it just my friends? https://t.co/cXjFxOe6mW
233,"â€œ...no one seems to know what the fuck 6 feet looks likeâ€ ðŸ˜‚ðŸ˜‚ðŸ˜‚

Rafael is the cure â¬‡ï¸â¬‡ï¸ https://t.co/zP4PSrTv2R"
234,I will take one with a lime.  #CoronavirusPandemic is not caused by @corona #DrinkYourCellar https://t.co/Df0iTmMotU
235,"Sky's are clear, views looks amazing,good job Corona appreciate you. https://t.co/TKcV0279UN"
